DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.time.LocalTime -> org.hibernate.type.BasicTypeReference@54329480
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration OffsetDateTime -> org.hibernate.type.BasicTypeReference@590013c7
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.BasicTypeReference@590013c7
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration OffsetDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@64f32e9e
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration OffsetDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@7b211077
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration OffsetTime -> org.hibernate.type.BasicTypeReference@3b770d07
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.time.OffsetTime -> org.hibernate.type.BasicTypeReference@3b770d07
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration OffsetTimeUtc -> org.hibernate.type.BasicTypeReference@62b0bf85
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration OffsetTimeWithTimezone -> org.hibernate.type.BasicTypeReference@1fcaea93
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration OffsetTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@6c9bf3b5
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration ZonedDateTime -> org.hibernate.type.BasicTypeReference@6f07d414
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.BasicTypeReference@6f07d414
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration ZonedDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@8ac12e6
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration ZonedDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@40faff12
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration date -> org.hibernate.type.BasicTypeReference@734fbae3
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.sql.Date -> org.hibernate.type.BasicTypeReference@734fbae3
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration time -> org.hibernate.type.BasicTypeReference@223967ea
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.sql.Time -> org.hibernate.type.BasicTypeReference@223967ea
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration timestamp -> org.hibernate.type.BasicTypeReference@4a6a6a69
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.sql.Timestamp -> org.hibernate.type.BasicTypeReference@4a6a6a69
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.util.Date -> org.hibernate.type.BasicTypeReference@4a6a6a69
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration calendar -> org.hibernate.type.BasicTypeReference@5d7f1e59
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.util.Calendar -> org.hibernate.type.BasicTypeReference@5d7f1e59
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.BasicTypeReference@5d7f1e59
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration calendar_date -> org.hibernate.type.BasicTypeReference@53e93fb7
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration calendar_time -> org.hibernate.type.BasicTypeReference@3a861417
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration instant -> org.hibernate.type.BasicTypeReference@2326180c
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.time.Instant -> org.hibernate.type.BasicTypeReference@2326180c
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration uuid -> org.hibernate.type.BasicTypeReference@68e47e7
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.util.UUID -> org.hibernate.type.BasicTypeReference@68e47e7
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration pg-uuid -> org.hibernate.type.BasicTypeReference@68e47e7
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration uuid-binary -> org.hibernate.type.BasicTypeReference@1c00d406
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration uuid-char -> org.hibernate.type.BasicTypeReference@16ac4d3d
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration class -> org.hibernate.type.BasicTypeReference@559d19c
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.lang.Class -> org.hibernate.type.BasicTypeReference@559d19c
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration currency -> org.hibernate.type.BasicTypeReference@719c1faf
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration Currency -> org.hibernate.type.BasicTypeReference@719c1faf
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.util.Currency -> org.hibernate.type.BasicTypeReference@719c1faf
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration locale -> org.hibernate.type.BasicTypeReference@6ba6557e
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.util.Locale -> org.hibernate.type.BasicTypeReference@6ba6557e
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration serializable -> org.hibernate.type.BasicTypeReference@1f172892
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.io.Serializable -> org.hibernate.type.BasicTypeReference@1f172892
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration timezone -> org.hibernate.type.BasicTypeReference@5409dfdd
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.util.TimeZone -> org.hibernate.type.BasicTypeReference@5409dfdd
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration ZoneOffset -> org.hibernate.type.BasicTypeReference@45f9d394
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.time.ZoneOffset -> org.hibernate.type.BasicTypeReference@45f9d394
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration url -> org.hibernate.type.BasicTypeReference@1c2d63f0
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration java.net.URL -> org.hibernate.type.BasicTypeReference@1c2d63f0
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:410] - Adding type registration row_version -> org.hibernate.type.BasicTypeReference@3a588b5f
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:385] - Adding type registration object -> org.hibernate.type.JavaObjectType@7b7068d8
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:385] - Adding type registration java.lang.Object -> org.hibernate.type.JavaObjectType@7b7068d8
DEBUG 24-01-13 12:12:54[Test worker] [BasicTypeRegistry:385] - Adding type registration null -> org.hibernate.type.NullType@85ab964
